dataset,algorithm,clusterer,feature,nodes,edges,train_edges,heldout_edges,runtime_sec,community_count,mean_size,modularity,coverage,mean_density,mean_conductance,auc,average_precision,ego_cluster_count,ego_cluster_mean_size,ego_cluster_mean_density,ego_cluster_mean_conductance
facebook,EgoNet-APM-W1,APM,W1,4039.0,88234.0,87352.0,882.0,8.327093042200431,,,,,,,0.9807301227369255,0.9798611897810521,7438.0,23.46571659048131,0.7250850539583862,0.329609028052061
facebook,EgoNet-APM-W2,APM,W2,4039.0,88234.0,87352.0,882.0,8.327093042200431,,,,,,,0.9807198389559906,0.9799432278227466,7438.0,23.46571659048131,0.7250850539583862,0.329609028052061
facebook,EgoNet-APM-W3,APM,W3,4039.0,88234.0,87352.0,882.0,8.327093042200431,,,,,,,0.979945341704331,0.979157318803322,7438.0,23.46571659048131,0.7250850539583862,0.329609028052061
facebook,EgoNet-APM-W4,APM,W4,4039.0,88234.0,87352.0,882.0,8.327093042200431,,,,,,,0.9809210154205296,0.9802662526357971,7438.0,23.46571659048131,0.7250850539583862,0.329609028052061
facebook,EgoNet-CC-W1,CC,W1,4039.0,88234.0,87352.0,882.0,5.51398529112339,,,,,,,0.9937885963153212,0.9921657639278165,3983.0,43.822746673361785,0.6135467659866491,0.0
facebook,EgoNet-CC-W2,CC,W2,4039.0,88234.0,87352.0,882.0,5.51398529112339,,,,,,,0.9934871529866671,0.9923922267415306,3983.0,43.822746673361785,0.6135467659866491,0.0
facebook,EgoNet-CC-W3,CC,W3,4039.0,88234.0,87352.0,882.0,5.51398529112339,,,,,,,0.9903955913431132,0.9892470881168468,3983.0,43.822746673361785,0.6135467659866491,0.0
facebook,EgoNet-CC-W4,CC,W4,4039.0,88234.0,87352.0,882.0,5.51398529112339,,,,,,,0.9937853826337791,0.9929369285970446,3983.0,43.822746673361785,0.6135467659866491,0.0
facebook,Louvain,global,community_common_neighbors,4039.0,88234.0,87352.0,882.0,0.3084931659977883,15.0,269.26666666666665,0.8345644007419537,0.9610655737704918,0.25744440642588595,0.05446526751355833,0.9937963091510225,0.9925043304359988,0.0,0.0,0.0,0.0
enron,EgoNet-APM-W1,APM,W1,36692.0,183831.0,182831.0,1000.0,10.093066375004128,,,,,,,0.938729,0.9386448034790267,53497.0,6.306877021141372,0.8310379441200562,0.3179780504631637
enron,EgoNet-APM-W2,APM,W2,36692.0,183831.0,182831.0,1000.0,10.093066375004128,,,,,,,0.938814,0.9388471244847031,53497.0,6.306877021141372,0.8310379441200562,0.3179780504631637
enron,EgoNet-APM-W3,APM,W3,36692.0,183831.0,182831.0,1000.0,10.093066375004128,,,,,,,0.938592,0.9384924674314739,53497.0,6.306877021141372,0.8310379441200562,0.3179780504631637
enron,EgoNet-APM-W4,APM,W4,36692.0,183831.0,182831.0,1000.0,10.093066375004128,,,,,,,0.938809,0.9388404469086271,53497.0,6.306877021141372,0.8310379441200562,0.3179780504631637
enron,EgoNet-CC-W1,CC,W1,36692.0,183831.0,182831.0,1000.0,3.655325833009556,,,,,,,0.9743005,0.9741042686726893,27158.0,12.423742543633551,0.8046050497096373,0.0
enron,EgoNet-CC-W2,CC,W2,36692.0,183831.0,182831.0,1000.0,3.655325833009556,,,,,,,0.9748775,0.975152983484508,27158.0,12.423742543633551,0.8046050497096373,0.0
