dataset,algorithm,clusterer,feature,metric,seeds,n,mean,std
astro_ph,EgoNet-APM-W1,APM,W1,runtime_sec,1 2 3 4 5,5.0,5.016085999784991,0.07782633922302641
astro_ph,EgoNet-APM-W1,APM,W1,auc,1 2 3 4 5,5.0,0.974277,0.0038193254149129757
astro_ph,EgoNet-APM-W1,APM,W1,average_precision,1 2 3 4 5,5.0,0.9742081848152475,0.0038377645129578403
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_count,1 2 3 4 5,5.0,41974.0,34.40930106817051
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_mean_size,1 2 3 4 5,5.0,9.280330452782108,0.0069371023242492625
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8989027437272533,0.00021614147787133489
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p10,1 2 3 4 5,5.0,0.6666666666666666,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p25,1 2 3 4 5,5.0,0.8029457804627227,0.001808720653195503
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.21515511762796796,0.00030012714747545033
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.10412976076987622,0.0009678530769186171
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.39282778874780094,0.0011233493043369025
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.6183150183150183,0.0016381450384613785
astro_ph,EgoNet-APM-W2,APM,W2,runtime_sec,1 2 3 4 5,5.0,5.016085999784991,0.07782633922302641
astro_ph,EgoNet-APM-W2,APM,W2,auc,1 2 3 4 5,5.0,0.9743333,0.0038339565660033222
astro_ph,EgoNet-APM-W2,APM,W2,average_precision,1 2 3 4 5,5.0,0.9743229537444641,0.003860891757568869
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_count,1 2 3 4 5,5.0,41974.0,34.40930106817051
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_mean_size,1 2 3 4 5,5.0,9.280330452782108,0.0069371023242492625
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8989027437272533,0.00021614147787133489
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p10,1 2 3 4 5,5.0,0.6666666666666666,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p25,1 2 3 4 5,5.0,0.8029457804627227,0.001808720653195503
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.21515511762796796,0.00030012714747545033
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.10412976076987622,0.0009678530769186171
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.39282778874780094,0.0011233493043369025
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.6183150183150183,0.0016381450384613785
astro_ph,EgoNet-APM-W3,APM,W3,runtime_sec,1 2 3 4 5,5.0,5.016085999784991,0.07782633922302641
astro_ph,EgoNet-APM-W3,APM,W3,auc,1 2 3 4 5,5.0,0.9737493,0.003816250591221697
astro_ph,EgoNet-APM-W3,APM,W3,average_precision,1 2 3 4 5,5.0,0.9736835116104973,0.003849706061035522
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_count,1 2 3 4 5,5.0,41974.0,34.40930106817051
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_mean_size,1 2 3 4 5,5.0,9.280330452782108,0.0069371023242492625
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8989027437272533,0.00021614147787133489
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p10,1 2 3 4 5,5.0,0.6666666666666666,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p25,1 2 3 4 5,5.0,0.8029457804627227,0.001808720653195503
