dataset,algorithm,clusterer,feature,k,metric,seeds,n,mean,std
astro_ph,EgoNet-APM-W1,APM,W1,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-APM-W1,APM,W1,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-APM-W1,APM,W1,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-APM-W1,APM,W1,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-APM-W1,APM,W1,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-APM-W1,APM,W1,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
astro_ph,EgoNet-APM-W1,APM,W1,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
astro_ph,EgoNet-APM-W1,APM,W1,1000.0,precision,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W1,APM,W1,1000.0,recall,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W2,APM,W2,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-APM-W2,APM,W2,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-APM-W2,APM,W2,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-APM-W2,APM,W2,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-APM-W2,APM,W2,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-APM-W2,APM,W2,500.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,500.0,recall,1 2 3 4 5,5.0,0.5,0.0
astro_ph,EgoNet-APM-W2,APM,W2,1000.0,precision,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W2,APM,W2,1000.0,recall,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W3,APM,W3,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-APM-W3,APM,W3,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-APM-W3,APM,W3,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
